SNR_dB,BER_ML,BER_OneHot,BER_LabelEncoder
0.0,1.541137e-01,2.285305e-01,2.314043e-01
1.0,1.306965e-01,2.033205e-01,2.060123e-01
2.0,1.070405e-01,1.758538e-01,1.786092e-01
3.0,8.475575e-02,1.480498e-01,1.507493e-01
4.0,6.413150e-02,1.207282e-01,1.235330e-01
5.0,4.694325e-02,9.482025e-02,9.746675e-02
6.0,3.249375e-02,7.053875e-02,7.337800e-02
7.0,2.162000e-02,5.002875e-02,5.266950e-02
8.0,1.319050e-02,3.292025e-02,3.535950e-02
9.0,7.384250e-03,1.976275e-02,2.187775e-02
10.0,3.586000e-03,1.075375e-02,1.230575e-02
11.0,1.486500e-03,5.154500e-03,6.264500e-03
12.0,5.245000e-04,2.159000e-03,2.823500e-03
13.0,1.245000e-04,7.082500e-04,1.046500e-03
14.0,2.750000e-05,2.027500e-04,3.435000e-04
15.0,3.500000e-06,5.075000e-05,9.600000e-05
16.0,5.000000e-07,5.500000e-06,1.725000e-05
17.0,0.000000e+00,7.500000e-07,3.750000e-06
18.0,0.000000e+00,0.000000e+00,0.000000e+00
